date,open,high,low,close,volume
2019-04-25,150.6,152.6,150.33,150.92,433788
2019-04-26,149.86,150.02,146.65,146.73,517344
2019-04-29,147.55,152.09,146.97,150.52,550332
2019-04-30,147.55,148.84,144.74,147.08,953712
2019-05-06,142.2,145.52,140.94,144.97,1133679
2019-05-07,146.03,146.03,142.82,144.19,617476
2019-05-08,142.59,143.68,141.41,141.92,481745
2019-05-09,141.41,142.39,137.58,139.15,581104
2019-05-10,140.87,144.54,140.87,143.8,654776
2019-05-13,141.61,142.55,139.97,140.63,343409
2019-05-14,138.68,142.2,138.64,139.69,488643
2019-05-15,141.41,144.74,140.59,143.88,440591
2019-05-16,143.88,145.09,143.02,144.03,334643
2019-05-17,144.15,144.54,141.3,142.63,359257
2019-05-20,142.59,144.5,140.71,142.51,418304
2019-05-21,142.55,145.71,141.96,143.88,503444
2019-05-22,143.88,144.74,142.59,143.49,345081
2019-05-23,142.63,143.76,141.22,142.78,383860
2019-05-24,143.68,145.83,142.94,143.76,429909
2019-05-27,143.29,145.13,140.63,144.46,477259
2019-05-28,144.35,147.67,143.84,146.81,694571
2019-05-29,144.97,148.02,144.74,146.3,376829
2019-05-30,146.93,147.32,144.78,146.5,297308
2019-05-31,146.11,148.06,145.36,146.15,305224
2019-06-03,146.3,147.87,144.85,146.89,394814
2019-06-04,146.89,146.93,144.39,145.44,327891
2019-06-05,146.61,147.12,145.01,145.13,269274
2019-06-06,145.83,145.83,142.9,144.93,302325
2019-06-10,145.44,148.84,145.36,148.22,493055
2019-06-11,148.22,151.35,148.22,150.88,523697
2019-06-12,150.76,151.23,149.43,150.52,270916
2019-06-13,150.52,151.19,148.76,150.21,256232
2019-06-14,150.52,151.46,149.94,150.6,341837
2019-06-17,150.41,153.07,150.25,151.58,262376
2019-06-18,151.97,153.22,151.23,153.22,302284
2019-06-19,157.02,158.23,155.37,156.27,652389
2019-06-20,156.51,162.84,156.51,162.45,742299
2019-06-21,162.45,162.92,159.01,159.75,596176
2019-06-24,159.09,160.93,158.93,160.81,308816
2019-06-25,159.05,159.05,148.26,153.65,2435122
2019-06-26,149.51,152.87,149.31,151.07,1049978
2019-06-27,152.68,155.33,152.17,154.9,928056
2019-06-28,154.51,155.22,152.52,153.07,530623
2019-07-01,156.08,157.95,155.88,156.66,812455
2019-07-02,156.74,156.74,154.32,155.18,612234
2019-07-03,154.67,155.06,153.38,153.73,479284
2019-07-04,154.59,154.86,153.18,153.46,379174
2019-07-05,153.93,155.61,153.14,154.98,364516
2019-07-08,153.46,153.93,150.64,151.42,506105
2019-07-09,151.5,151.97,150.02,150.37,281061
2019-07-10,151.58,151.78,149.16,149.7,444871
2019-07-11,151.03,153.38,150.45,152.75,598290
2019-07-12,153.61,155.26,152.99,154.47,497467
2019-07-15,152.95,155.57,150.95,154.08,422718
2019-07-16,154.36,154.86,153.5,154.12,270146
2019-07-17,153.34,154.55,152.95,153.73,226376
2019-07-18,154.08,155.18,153.18,154.16,338900
2019-07-19,155.57,158.74,155.18,158.27,498642
2019-07-22,158.23,159.83,157.17,158.27,337330
2019-07-23,158.27,158.78,156.86,157.64,250795
2019-07-24,158.54,160.57,157.76,158.5,342634
2019-07-25,159.75,162.61,159.75,161.75,509943
2019-07-26,160.93,162.18,160.85,161.59,233919
2019-07-29,161.51,161.51,159.17,160.07,317504
2019-07-30,159.95,161.4,159.56,159.83,261837
2019-07-31,158.78,159.95,158.58,159.01,273067
2019-08-01,158.38,159.13,156.47,157.6,322316
2019-08-02,155.06,156.66,154.47,155.84,489480
2019-08-05,154.94,155.61,153.26,153.73,452127
2019-08-06,150.95,153.18,150.56,152.44,585696
2019-08-07,152.52,152.83,150.72,151.07,550566
2019-08-08,152.13,154.83,152.13,154.32,456257
2019-08-09,154.71,154.86,152.56,152.87,336142
2019-08-12,152.87,154.71,152.13,154.51,392258
2019-08-13,153.65,153.89,152.13,152.32,297365
2019-08-14,153.77,154.47,152.13,152.36,377493
2019-08-15,149.78,152.68,149.39,152.4,300548
2019-08-16,152.48,154.47,151.03,153.54,408445
2019-08-19,152.79,154.08,150.72,154.08,714934
2019-08-20,152.91,155.1,152.52,154.2,380369
2019-08-21,153.85,155.26,153.54,154.67,299825
2019-08-22,155.22,155.41,153.46,154.24,228625
2019-08-23,153.77,158.93,153.77,157.88,706099
2019-08-26,154.86,156.04,152.01,152.91,867363
2019-08-27,154.4,155.33,151.93,151.93,817512
2019-08-28,152.91,153.22,150.6,150.95,514762
2019-08-29,150.95,151.15,147.83,148.73,711618
2019-08-30,150.13,150.52,148.8,150.09,596580
2019-09-02,150.09,151.58,149.98,150.33,507983
2019-09-03,150.45,150.8,149.04,149.59,407170
2019-09-04,149.43,153.14,149.04,152.48,634636
2019-09-05,153.03,156.43,153.03,154.94,723702
2019-09-06,156.43,156.78,155.06,156.39,473163
2019-09-09,157.17,158.54,154.24,154.86,756151
2019-09-10,155.69,155.8,151.93,152.91,675331
2019-09-11,153.65,153.85,151.78,153.11,609089
2019-09-12,154.47,154.59,152.79,154.04,525822
2019-09-16,154.86,155.02,152.21,152.91,461668
2019-09-17,153.18,153.61,151.42,152.09,443071
2019-09-18,152.13,152.68,151.78,152.13,353748
2019-09-19,152.68,152.75,150.41,150.99,538453
2019-09-20,151.78,151.97,150.49,150.99,694945
2019-09-23,150.56,150.56,148.53,149.16,610254
2019-09-24,149.98,149.98,148.88,149.31,365718
2019-09-25,149.2,150.84,148.49,150.37,467794
2019-09-26,150.76,155.33,150.09,153.77,1084408
2019-09-27,153.5,155.61,152.21,153.69,672678
2019-09-30,152.09,154.2,151.74,151.93,391204
2019-10-08,151.74,153.3,150.95,152.17,645887
2019-10-09,151.03,155.53,150.95,153.61,821614
2019-10-10,153.73,154.4,152.99,153.34,378701
2019-10-11,154.08,158.27,154.08,157.95,1043873
2019-10-14,159.17,162.45,159.17,160.07,874334
2019-10-15,161.59,161.59,158.66,159.32,458105
2019-10-16,160.61,162.49,158.38,159.99,514898
2019-10-17,159.99,161.32,158.93,160.73,342588
2019-10-18,161.12,161.83,157.21,157.52,454350
2019-10-21,157.21,158.78,155.92,157.68,359426
2019-10-22,158.66,158.7,155.53,157.33,332074
2019-10-23,157.02,157.99,156.12,156.82,313471
2019-10-24,157.52,159.75,156.66,158.78,431220
2019-10-25,159.44,159.44,156.98,158.38,246142
2019-10-28,158.7,160.46,157.21,157.6,328083
2019-10-29,157.88,158.27,156.47,157.41,266101
2019-10-30,157.25,157.72,154.12,154.51,483263
2019-10-31,155.65,156.31,154.0,154.86,507042
2019-11-01,155.14,159.79,154.4,159.17,668556
2019-11-04,160.61,161.83,159.52,161.43,596402
2019-11-05,161.47,165.23,160.65,163.31,723331
2019-11-06,163.31,166.52,162.8,165.23,708449
2019-11-07,165.15,166.13,163.94,165.27,350552
2019-11-08,166.52,166.79,163.08,163.66,457082
2019-11-11,162.8,163.43,161.4,161.94,392940
2019-11-12,161.94,162.65,160.38,161.51,363832
2019-11-13,160.93,162.22,160.34,160.73,392934
2019-11-14,161.47,161.71,159.36,159.71,292912
2019-11-15,160.65,160.96,159.17,160.07,315009
2019-11-18,160.07,164.21,159.67,162.69,574455
2019-11-19,162.49,163.86,161.94,162.76,390184
2019-11-20,161.67,162.18,158.74,159.09,482774
2019-11-21,158.23,159.52,157.09,158.54,297436
2019-11-22,159.56,160.14,157.13,157.72,322739
2019-11-25,158.38,159.64,158.07,159.09,264163
2019-11-26,159.91,159.95,156.82,156.82,448595
2019-11-27,157.56,160.26,157.05,159.36,350695
2019-11-28,159.01,160.26,158.54,159.28,208521
2019-11-29,158.7,159.52,156.51,156.94,334789
2019-12-02,157.21,158.31,156.7,157.25,197340
2019-12-03,156.51,159.17,155.76,158.62,276806
2019-12-04,157.09,158.46,156.98,157.91,230906
2019-12-05,158.7,159.17,157.29,158.31,264779
2019-12-06,158.66,159.09,157.52,158.42,255846
2019-12-09,158.31,158.54,156.94,157.88,250788
2019-12-10,157.09,158.23,157.02,157.29,227356
2019-12-11,157.95,158.58,157.25,158.38,280779
2019-12-12,158.78,159.09,157.76,158.38,250113
2019-12-13,159.67,162.69,159.52,162.69,654956
2019-12-16,161.71,162.61,161.12,161.83,352877
2019-12-17,161.71,164.05,160.34,162.69,563127
2019-12-18,162.88,165.23,162.88,164.6,541322
2019-12-19,164.64,165.62,163.58,163.74,301884
2019-12-20,163.94,164.76,162.29,162.84,288007
2019-12-23,163.82,164.64,161.71,162.29,358747
2019-12-24,162.49,165.23,162.49,164.68,341856
2019-12-25,164.68,165.54,163.15,163.82,235028
2019-12-26,163.78,165.03,163.43,165.03,192240
2019-12-27,165.03,166.6,163.86,164.09,359535
2019-12-30,163.08,164.33,161.16,163.98,444963
2019-12-31,164.05,164.17,161.94,163.0,376805
2020-01-02,164.76,169.02,164.72,168.08,826245
2020-01-03,168.36,170.98,168.24,170.11,520106
2020-01-06,169.29,173.09,168.16,169.49,548877
2020-01-07,170.7,172.23,168.94,169.14,347671
2020-01-08,168.36,168.36,166.24,166.24,363234
2020-01-09,167.93,168.55,166.91,168.16,303360
2020-01-10,168.16,169.65,167.57,168.71,285931
2020-01-13,169.65,169.65,167.57,168.94,327809
2020-01-14,169.1,171.01,167.38,167.81,335646
2020-01-15,167.93,168.12,164.72,165.11,488599
2020-01-16,165.5,166.01,163.7,164.48,453848
2020-01-17,164.88,165.31,163.39,164.37,421357
2020-01-20,165.5,167.18,164.64,165.85,585809
2020-01-21,164.45,165.23,163.47,163.82,417202
2020-01-22,163.47,165.03,161.32,163.94,531255
2020-01-23,162.8,163.47,158.58,159.99,787503
2020-02-03,148.22,154.86,148.22,153.03,1131062
2020-02-04,153.07,154.79,151.66,154.28,1229677
2020-02-05,154.24,154.9,152.25,154.32,802572
2020-02-06,154.86,156.16,153.42,155.84,730702
2020-02-07,153.3,154.71,152.95,154.55,675525
2020-02-10,153.42,153.85,152.71,153.3,575042
2020-02-11,154.08,156.23,153.5,155.14,557436
2020-02-12,154.86,155.49,153.85,155.26,405390
2020-02-13,154.98,155.06,153.69,153.97,422351
2020-02-14,153.73,155.69,153.73,155.41,403397
2020-02-17,155.37,157.48,154.4,157.48,669425
2020-02-18,156.82,156.82,155.26,155.65,516397
2020-02-19,155.26,156.39,154.71,154.98,419521
2020-02-20,155.49,157.02,153.69,156.74,746006
2020-02-21,156.43,156.55,154.75,155.41,730315
2020-02-24,154.83,155.61,153.03,153.11,798565
2020-02-25,152.17,153.22,150.95,151.46,873734
2020-02-26,150.6,152.87,149.98,152.25,779705
2020-02-27,152.09,154.28,151.74,153.77,689379
2020-02-28,152.32,153.61,149.78,149.78,835341
2020-03-02,149.94,152.44,149.39,151.93,704291
2020-03-03,152.64,153.3,150.64,151.42,686073
2020-03-04,151.66,152.13,150.72,152.05,560886
2020-03-05,152.87,158.07,152.13,157.72,1355413
2020-03-06,156.19,156.9,154.51,154.51,670674
2020-03-09,152.44,152.44,149.7,149.7,966592
2020-03-10,149.74,152.68,149.31,151.66,668298
2020-03-11,151.97,152.87,150.6,150.76,566551
2020-03-12,150.45,151.31,149.08,149.63,619180
2020-03-13,144.31,147.28,142.74,146.69,1140958
2020-03-16,146.61,146.61,139.77,139.89,1066027
2020-03-17,139.81,143.56,137.7,140.12,843441
2020-03-18,140.71,142.27,136.33,136.56,824317
2020-03-19,135.24,135.24,128.31,130.66,1559457
2020-03-20,132.58,137.7,132.58,137.43,1343153
2020-03-23,133.4,135.35,132.89,133.98,928971
2020-03-24,137.86,139.81,136.53,139.26,825359
2020-03-25,142.08,143.84,141.84,143.1,809527
2020-03-26,141.57,146.73,141.41,143.99,694636
2020-03-27,145.56,146.38,143.06,143.99,581775
2020-03-30,141.88,143.99,140.4,143.72,477494
2020-03-31,144.78,145.01,141.8,142.27,377540
2020-04-01,141.65,143.72,141.18,141.69,358143
2020-04-02,140.2,142.51,140.05,142.51,289601
2020-04-03,141.18,142.43,141.14,141.77,251618
2020-04-07,144.46,144.62,142.74,143.21,431844
2020-04-08,143.13,143.13,141.65,142.04,318134
2020-04-09,142.31,142.55,141.61,142.35,286646
2020-04-10,142.78,143.37,140.83,141.57,437432
2020-04-13,140.87,141.96,140.48,140.91,230555
2020-04-14,141.88,143.96,141.49,143.96,427079
2020-04-15,143.49,143.64,142.43,142.82,237838
2020-04-16,141.96,142.78,141.02,141.57,295000
2020-04-17,142.94,145.87,142.51,144.54,697952
2020-04-20,144.66,145.4,143.33,144.7,336024
2020-04-21,144.7,145.25,143.45,143.72,328715
2020-04-22,142.94,144.11,142.47,144.03,279435
2020-04-23,144.39,144.93,143.72,143.88,246146
2020-04-24,143.99,143.99,142.78,143.17,222598
2020-04-27,144.11,148.92,143.99,147.36,653415
2020-04-28,147.44,148.61,146.26,148.45,366511
2020-04-29,148.61,153.3,148.57,152.99,658766
2020-04-30,153.5,157.02,153.11,153.26,715332
2020-05-06,151.07,152.05,149.7,151.46,501736
2020-05-07,151.35,151.42,149.2,150.76,299485
2020-05-08,152.01,153.61,151.15,152.79,392155
2020-05-11,152.83,154.79,152.44,152.75,295848
2020-05-12,152.87,153.07,150.72,151.31,349634
2020-05-13,150.56,151.66,149.39,151.11,279835
2020-05-14,150.52,150.64,148.22,148.73,420630
2020-05-15,149.74,150.02,147.83,148.41,361928
2020-05-18,147.51,150.17,147.08,148.22,363701
2020-05-19,150.56,150.88,149.23,150.06,264304
2020-05-20,150.06,153.03,149.39,151.66,380518
2020-05-21,152.56,153.61,151.58,151.85,362527
2020-05-22,150.92,151.7,147.47,147.55,423964
2020-05-25,148.69,148.76,144.7,145.44,432649
2020-05-26,146.26,147.01,145.44,146.77,322461
2020-05-27,147.32,148.92,146.03,146.77,320833
2020-05-28,147.36,151.74,146.77,149.86,693623
2020-05-29,148.45,149.51,147.83,148.3,372375
2020-06-01,149.59,152.79,149.39,152.21,488237
2020-06-02,151.15,153.93,151.11,153.07,492957
2020-06-03,154.67,156.82,152.99,153.77,610187
2020-06-04,154.86,155.06,153.18,153.5,257561
2020-06-05,154.08,154.75,152.17,153.85,327173
2020-06-08,155.06,157.56,154.86,155.53,501810
2020-06-09,155.3,155.61,153.93,154.98,300931
2020-06-10,155.41,155.45,153.61,154.24,272731
2020-06-11,153.73,154.16,150.21,150.84,588927
2020-06-12,148.96,150.95,147.83,150.95,546616
2020-06-15,149.16,149.7,146.89,147.32,654343
2020-06-16,149.0,149.7,148.26,149.55,381631
2020-06-17,149.0,150.21,148.33,149.78,306278
2020-06-18,148.53,149.23,145.17,148.57,922939
2020-06-19,148.22,150.33,147.44,148.45,679496
2020-06-22,147.67,148.41,146.38,147.04,595815
2020-06-23,146.26,147.2,145.52,146.46,452529
2020-06-24,147.12,148.84,147.08,148.61,479891
2020-06-29,149.66,150.17,147.01,147.59,567297
2020-06-30,148.41,148.84,147.59,147.9,391568
2020-07-01,148.18,152.13,147.47,152.09,799096
2020-07-02,151.54,154.75,150.17,154.08,1245178
2020-07-03,154.47,159.79,154.28,159.71,1535704
2020-07-06,161.43,174.06,161.43,174.06,1874929
2020-07-07,179.5,185.36,174.42,176.61,2016338
2020-07-08,175.98,179.77,172.34,174.42,1827039
2020-07-09,174.46,174.89,170.62,172.11,1693236
2020-07-10,172.11,173.24,165.62,166.4,1528159
2020-07-13,165.46,169.33,164.13,166.6,1634064
2020-07-14,165.7,167.06,162.41,163.51,1310866
2020-07-15,165.38,165.5,160.34,160.96,1341142
2020-07-16,161.71,163.78,159.91,159.95,1429523
2020-07-17,161.0,162.29,158.81,161.83,1169918
2020-07-20,161.9,167.18,160.93,166.48,1594157
2020-07-21,166.48,167.14,163.55,164.8,831621
2020-07-22,164.56,165.81,162.53,163.23,998812
2020-07-23,162.22,163.12,158.58,159.95,1197076
2020-07-24,159.56,160.73,154.2,156.04,1304194
2020-07-27,157.37,157.48,153.73,154.67,893469
2020-07-28,156.27,157.13,154.51,155.96,780351
2020-07-29,155.65,158.97,154.59,157.88,969131
2020-07-30,157.8,158.27,155.57,155.88,798879
2020-07-31,156.04,158.97,155.61,156.82,989895
2020-08-03,158.38,159.13,156.74,157.6,1021858
2020-08-04,158.15,166.01,157.6,164.17,2354404
2020-08-05,163.08,164.09,160.77,162.69,1060660
2020-08-06,163.19,166.71,162.84,165.5,1252429
2020-08-07,164.95,164.95,162.29,163.9,897954
2020-08-10,164.25,167.03,161.08,165.42,1224481
2020-08-11,166.01,172.46,166.01,167.53,1736383
2020-08-12,168.47,170.35,165.54,168.51,930037
2020-08-13,168.75,170.0,166.67,166.71,640487
2020-08-14,166.71,169.65,166.44,169.33,670657
2020-08-17,169.57,175.32,169.57,173.44,1483090
2020-08-18,173.24,173.87,171.41,172.66,573661
2020-08-19,172.62,173.56,170.7,170.7,563937
2020-08-20,170.15,170.23,165.93,167.46,734408
2020-08-21,169.33,169.37,167.22,168.43,561254
2020-08-24,169.65,170.55,166.87,167.38,620989
2020-08-25,168.55,170.11,167.06,167.69,545246
2020-08-26,168.16,168.9,165.46,166.32,627000
2020-08-27,166.32,166.56,163.12,165.03,574815
2020-08-28,164.84,171.09,163.86,171.09,1182942
2020-08-31,171.29,173.24,167.57,168.12,1190314
2020-09-01,167.22,168.16,165.46,167.06,712759
2020-09-02,167.34,167.69,164.64,166.2,797221
2020-09-03,165.89,167.1,164.48,165.34,640480
2020-09-04,163.98,164.99,162.88,164.64,485437
2020-09-07,164.64,167.69,164.21,164.6,616139
2020-09-08,166.13,167.85,165.5,167.73,683545
2020-09-09,166.48,169.14,166.05,167.77,605433
2020-09-10,168.86,168.98,166.87,168.16,550146
2020-09-11,168.82,168.86,165.5,166.36,553105
2020-09-14,166.99,167.69,165.7,166.79,460240
2020-09-15,166.44,169.68,166.32,168.94,530805
2020-09-16,169.18,170.51,168.47,169.57,478875
2020-09-17,169.72,171.17,168.75,168.82,557714
2020-09-18,168.75,173.2,168.55,173.2,1081692
2020-09-21,173.24,173.75,171.68,171.68,501521
2020-09-22,171.29,171.68,168.32,168.86,583117
2020-09-23,168.63,169.53,166.99,167.38,430760
2020-09-24,166.79,166.79,165.03,165.66,540280
2020-09-25,165.81,166.99,165.74,166.13,352252
2020-09-28,166.2,167.96,165.62,166.4,353245
2020-09-29,166.79,167.18,162.57,162.72,796689
2020-09-30,162.69,163.74,160.73,161.51,654661
2020-10-09,163.08,164.64,162.02,162.22,494724
2020-10-12,163.08,167.96,162.69,167.61,998646
2020-10-13,167.3,169.37,165.93,168.51,511416
2020-10-14,168.55,169.72,166.95,169.53,642940
2020-10-15,169.88,174.14,169.53,173.28,1196657
2020-10-16,172.89,177.94,172.77,176.29,1105896
2020-10-19,178.29,183.21,176.72,177.11,981547
2020-10-20,177.15,178.37,175.98,177.04,424368
2020-10-21,177.39,180.56,177.11,180.28,541856
2020-10-22,181.06,184.97,178.44,181.81,644975
2020-10-23,180.71,185.36,180.52,181.92,551834
2020-10-26,183.64,183.64,177.47,179.58,504540
2020-10-27,179.58,182.04,178.44,178.91,458832
2020-10-28,179.62,181.38,175.63,177.54,693557
2020-10-29,176.18,180.52,175.86,177.9,523070
2020-10-30,179.11,181.65,175.51,176.41,438423
2020-11-02,179.07,179.89,173.95,178.13,516928
2020-11-03,179.89,185.36,179.89,182.0,870690
2020-11-04,185.44,189.24,182.55,188.61,884501
2020-11-05,189.28,191.66,186.46,188.06,680487
2020-11-06,188.1,188.3,185.33,186.85,463645
2020-11-09,188.85,190.72,187.32,189.0,497142
2020-11-10,191.9,194.28,190.45,191.7,562079
2020-11-11,192.79,194.16,190.88,194.16,526970
2020-11-12,192.79,194.52,190.25,191.15,471594
2020-11-13,189.67,189.67,184.23,187.24,544863
2020-11-16,188.69,189.28,187.52,188.88,389432
2020-11-17,188.88,192.79,188.1,192.17,472856
2020-11-18,191.23,196.7,190.49,195.73,628202
2020-11-19,194.87,196.7,192.76,196.2,477342
2020-11-20,195.77,197.88,194.79,196.9,314688
2020-11-23,196.9,198.97,196.0,198.27,584621
2020-11-24,196.7,197.88,194.87,196.2,399467
2020-11-25,198.74,198.93,193.46,194.48,378072
2020-11-26,194.63,198.19,194.63,197.06,351534
2020-11-27,198.27,200.5,195.53,200.03,446078
2020-11-30,200.03,207.54,192.91,193.58,1153602
2020-12-01,194.36,202.77,194.32,201.4,780728
2020-12-02,200.62,204.64,197.72,203.74,619944
2020-12-03,203.55,204.92,198.66,202.53,502376
2020-12-04,202.45,202.96,197.13,199.75,461155
2020-12-07,199.44,199.64,193.19,194.44,704825
2020-12-08,194.32,195.77,192.79,193.81,377167
2020-12-09,194.24,196.43,193.65,193.73,375195
2020-12-10,192.95,195.26,192.01,193.89,368874
2020-12-11,193.77,193.85,187.63,187.63,771435
2020-12-14,190.14,195.38,190.14,194.24,607427
2020-12-15,194.55,196.47,190.6,194.16,438792
2020-12-16,195.88,196.12,192.33,193.03,367902
2020-12-17,192.4,193.46,190.25,192.99,502329
2020-12-18,193.15,194.32,188.1,189.28,760600
2020-12-21,189.04,189.47,186.19,188.45,623851
2020-12-22,188.85,188.88,184.47,184.62,784686
2020-12-23,183.84,186.58,183.84,186.23,711820
2020-12-24,186.34,189.28,186.23,187.2,482110
2020-12-25,187.12,188.49,184.9,187.79,476732
2020-12-28,187.91,190.14,185.87,189.04,841409
2020-12-29,189.9,190.02,187.52,188.22,727148
2020-12-30,188.38,189.08,184.58,189.08,933496
2020-12-31,189.08,194.16,188.3,192.6,891199
2021-01-04,189.78,191.93,185.05,189.55,1549523
2021-01-05,187.95,188.1,182.78,185.68,1387177
2021-01-06,185.36,193.58,184.97,193.38,1200646
2021-01-07,193.93,200.5,193.81,200.22,1078322
2021-01-08,201.75,204.6,199.87,202.96,1299595
2021-01-11,202.88,213.01,202.53,210.08,1445234
2021-01-12,210.59,216.45,206.72,215.08,1044486
2021-01-13,213.56,216.18,211.88,213.91,649110
2021-01-14,213.91,216.57,210.63,212.54,703771
2021-01-15,218.21,231.47,218.13,220.71,1775745
2021-01-18,222.12,228.3,220.95,223.76,1237642
2021-01-19,225.25,228.89,222.08,223.49,901880
2021-01-20,224.47,228.46,220.13,222.98,792281
2021-01-21,227.87,229.94,224.66,226.58,736715
2021-01-22,227.4,227.4,220.17,222.67,870001
2021-01-25,220.56,225.88,216.65,224.51,865362
2021-01-26,224.08,228.38,220.17,221.73,601175
2021-01-27,222.55,227.6,222.55,224.08,609232
2021-01-28,220.17,223.1,219.38,222.55,523870
2021-01-29,224.78,225.88,219.42,220.56,621489
2021-02-01,220.17,227.13,218.13,225.64,796626
2021-02-02,225.45,227.2,222.51,223.96,720306
2021-02-03,224.35,231.9,222.08,228.18,765876
2021-02-04,227.48,236.59,226.46,229.94,969110
2021-02-05,232.13,239.48,230.72,234.79,1151578
2021-02-08,236.55,238.15,230.68,236.82,816378
2021-02-09,237.29,237.29,232.87,236.82,619005
2021-02-10,240.89,241.28,231.7,234.05,753508
2021-02-18,238.35,245.97,236.55,238.51,1070913
2021-02-19,238.35,242.49,235.34,236.59,710182
2021-02-22,236.86,238.7,229.39,232.68,801511
2021-02-23,233.03,242.57,232.68,237.96,952991
2021-02-24,239.13,239.13,227.4,230.33,844322
2021-02-25,233.85,237.76,231.55,233.66,886187
2021-02-26,230.33,233.66,219.62,220.56,1327289
2021-03-01,220.6,221.34,216.37,217.78,894184
2021-03-02,219.62,219.78,212.38,214.5,1007786
2021-03-03,216.26,227.91,214.69,227.09,1315933
2021-03-04,224.82,231.43,224.08,225.64,833039
2021-03-05,223.69,225.6,216.69,221.73,735196
2021-03-08,222.47,224.0,215.08,215.98,698138
2021-03-09,216.33,220.09,209.14,210.39,983222
2021-03-10,212.38,216.26,210.59,213.32,675910
2021-03-11,216.26,225.05,216.26,223.96,904210
2021-03-12,225.45,229.51,224.58,229.24,855808
2021-03-15,227.91,234.99,226.58,228.42,939319
2021-03-16,231.51,236.78,229.94,233.15,697163
2021-03-17,231.7,233.15,229.16,229.55,532315
